id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,Pop,0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,217307,4
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,Hip-Hop/Rap,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,Hip-Hop/Rap,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,4
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,Pop,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4
09IStsImFySgyp0pIQdqA,The Middle,Zedd,Pop,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,Hip-Hop/Rap,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,Pop,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11E-06,0.294,0.354,121.993,205920,4
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,Reggaeton,0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,173628,4
0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,Hip-Hop/Rap,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,Hip-Hop/Rap,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86E-05,0.105,0.595,140.022,181263,4
5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Dance/Electronic,0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,210773,4
3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,Reggaeton,0.903,0.675,11,-3.445,0,0.214,0.542,1.28E-05,0.0595,0.442,96.507,417920,4
7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,Pop,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77E-06,0.451,0.717,142.929,131064,4
2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,Pop,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,Pop,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56E-05,0.153,0.608,116.073,209320,4
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,Pop,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4
45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,R&B,0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,201707,4
4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,Pop,0.642,0.772,10,-6.61,1,0.0848,0.0476,0,0.0646,0.589,153.995,164205,4
